Type	Uid	Gid	Mode	MTime	CTime	Meta	Version	Chattr	Acl	DefaultAcl	Selinux	Capabilities	Size	MD5	SHA1	SHA256	SHA512
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227867	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 41704	9e515e9bcbf12881d5a39029f46aa741	5dba722a256654cad13485b6072431a8cf4502dd	746f018590bb78038d27beccf3b8e7003640f9d61d815676b53598d75bf9abd2	0a717fb60ca8762c33674c3393c58d7b0616c9c865039512063f3ce7e6920505d4fb998827b560b6f874ac611927116e9bcbafeed9275d39029bd207d50bc382
/bin/cut																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003230333	-------------e-			system_u:object_r:shell_exec_t:s0		1350460119 1397647626 106216	5c3329baeae1969864057255d777fdd6	3ec3b76addd36e1b88fcdf4c6fc3bc695a4d541f	ad4751171ceb88ae420120a9698776cf2ab8e540cafcbcaf438277afe5c147b2	994aabe5db0eb92c973cb63e8e833129ba21b434fe06938a37dba874223a53c3f7c90cc875a37cde9a8815de67ceadb47149cd9508377f1b83d962cb7069f912
/bin/dash																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227868	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 55576	3ef6a4a729044aac7505a9b5e9de8a81	cd31f6d4b14fa4c002bb2c6bcf61e4090f0e152f	28ba4681815a101b9ed9c93117f3753ab2f84571bac328a513a5b39e41569fb7	b3451447a4a74821662a6607b32627992ed8020c6ebec0938f8b0cd0c77f0d02404dc3efeb8695db9210482ef62ecb4088b8945a518405012fca141352e7456c
/bin/date																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227869	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 50064	e0351adc0e16676548374739aa5b63f7	a8f9f73313afb950d9336310d5f7be10525c11c9	b873fa2ff7ec31aec403d54b750ad503455922962d80adaf11b461db0083bde7	dd752a5fbd5d8fd3d46fda09a0afd53ce116a51e77ec583711aa412798406e30cf1baada2357a26ee3271058f187bc74c95199c8ef79c2cb509c2233b2484ca1
/bin/dd																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227870	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 90544	503162fec46b1cc7a7835e72ab282f46	4d781745d25c533e3945efd6472ec0b4833e27f2	4275316f0ba955330f16807396cb6d7bcae5a6eaba94db1a104678d4b47d96e4	c22aac0d7fa960141f130270bf3c77acfef3b485e8ce763802b262ceaa13b4b34a173d88a7ed5f4776704bfdff265b89b8c841278c9b39bf4a30d1ce9265c3fa
/bin/df																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003232542	-------------e-			system_u:object_r:dmesg_exec_t:s0		1385134181 1397647634 6736	73758d505ea9c2fda5df43e3964258a7	2bc261aa1956aef87ae28219801cb7ba44dc943a	7f9ac27721963618651870c4afe19a54e3eb2fa3541929c07aea374321df4438	8a9574e910553a6fc971e8563068038913e8acdb05f0ef8949f35a80e9ef077eb71ece73e4ac7386a8123428dcc1861c2a9490a31866e1df57ed4da42782aed8
/bin/dmesg																	
l	0	0	777			hostname					system_u:object_r:bin_t:s0		1397647626 1397647626 8	0897acf49c7c1ea9f76efe59187aa046	709381e970d2d669ee1d1b4844a6dde9d9b63c77	7063dece7cccf374d9fa1ee30ff23300fa42477e064e69be7bb6d01c0cfff682	00fa19b3a98abe316955959141826d702c7475480d33b96a55e4ba9233da2500c8a3c571bfc3a912918a2d8b0092e59f59d4fe39cd8af127665a72f840d05972
/bin/dnsdomainname																	
l	0	0	777			hostname					system_u:object_r:bin_t:s0		1397647626 1397647626 8	0897acf49c7c1ea9f76efe59187aa046	709381e970d2d669ee1d1b4844a6dde9d9b63c77	7063dece7cccf374d9fa1ee30ff23300fa42477e064e69be7bb6d01c0cfff682	00fa19b3a98abe316955959141826d702c7475480d33b96a55e4ba9233da2500c8a3c571bfc3a912918a2d8b0092e59f59d4fe39cd8af127665a72f840d05972
/bin/domainname																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003233254	-------------e-			system_u:object_r:bin_t:s0		1289508340 1397647636 78504	faacf9c50e3ec1ea38a5cdccdd16dba2	9954cf5c5916bf6e0161a78978cf1c35e083d434	a6efcc93e617fda0e219304e910b26b43c4d3424210c4918a0f855b23f472764	8dd4ae8a185eea22b200f8260bb37ddf5e6ffe1e0191e18d3c4b6b3072f606de777ea42f8b260e9d6c199ac14dccab5c8ef059736bed6e1180bc06280b015176
/bin/dumpkeys																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227871	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 24136	2c7bf52bec9137e991269f410e8f7c40	b4545aec42a158838e629ca6428c885c3dd08b9f	4c975c38a6af77c4ff7efac187590c9c8fdcbd204c0cecfb1a3f4f668776ad76	c3027bceee739c6735882f6a88fa5eb5b894d2ffd1d1f17e2d39eec106ae5e30c63a1c98626c5d5d4d7f20e9c50310924d07556ec5be1c6393d5f44a15f1c0cd
/bin/echo																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227040	-------------e-			system_u:object_r:bin_t:s0		1395661792 1397647513 102904	7b590d6c582e803519b08700ed69c461	cbb759b41f802efe53969e241f2381c3eb57c767	089fd99948ad536c9061061d0f92275a19ad3ddfa0371221e709c9ae216435b5	633259340f5eaa1d81b7119fb9d93166369fb0624ef8e9256951ec4eae7ef799b57482c579bbbdf650b931405490ae2f1cef66b92580e266b7e610d656643034
/bin/egrep																	
f	0	0	755			ELF 64-bit LSB executable, x86-64, stripped	2003227872	-------------e-			system_u:object_r:bin_t:s0		1394622735 1397647517 23832	1979b454ab3ae0305af6a568043c2288	62f09599d3c94d98d7d77d9f650b8d0efbccd11b	df12be8faa327d97df6efc358e4b0d402341773b53e70c81307d7bb921fb70c7	0bd4eb441af4c8f90daaaa4f22d2dab2aac21a912b4773254c60b70bae9d39e8c7f76721586854fe3e21a34c9b40491df0d183db2e7635b3eeb5e3fa935d8f42
/bin/env																	
